__time,/unconstrained_mpc/mpc_data/ctrl_input/force/x,/unconstrained_mpc/mpc_data/ctrl_input/force/y,/unconstrained_mpc/mpc_data/ctrl_input/force/z,/unconstrained_mpc/mpc_data/ctrl_input/torque/x,/unconstrained_mpc/mpc_data/ctrl_input/torque/y,/unconstrained_mpc/mpc_data/ctrl_input/torque/z,/unconstrained_mpc/mpc_data/delay/data,/unconstrained_mpc/mpc_data/desired_robot_vel/angular/x,/unconstrained_mpc/mpc_data/desired_robot_vel/angular/y,/unconstrained_mpc/mpc_data/desired_robot_vel/angular/z,/unconstrained_mpc/mpc_data/desired_robot_vel/linear/x,/unconstrained_mpc/mpc_data/desired_robot_vel/linear/y,/unconstrained_mpc/mpc_data/desired_robot_vel/linear/z,/unconstrained_mpc/mpc_data/header/stamp/nanosec,/unconstrained_mpc/mpc_data/header/stamp/sec,/unconstrained_mpc/mpc_data/robot_vel/angular/x,/unconstrained_mpc/mpc_data/robot_vel/angular/y,/unconstrained_mpc/mpc_data/robot_vel/angular/z,/unconstrained_mpc/mpc_data/robot_vel/linear/x,/unconstrained_mpc/mpc_data/robot_vel/linear/y,/unconstrained_mpc/mpc_data/robot_vel/linear/z
1731295308.740395,-0.000402511,0.002909403,-4.281768719,0.000000000,0.000000000,0.000014396,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.150000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000001227,-0.000011685,-0.000066110,0.150000007
1731295308.755304,-0.000309257,0.003330059,-4.281768756,0.000000000,0.000000000,0.000017323,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.150000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000001227,-0.000011985,-0.000066836,0.150000007
1731295308.765996,-0.000215428,0.003747195,-4.281768791,0.000000000,0.000000000,0.000020233,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.150000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000001226,-0.000012275,-0.000067491,0.150000007
1731295308.777441,-0.000121112,0.004160367,-4.281768824,0.000000000,0.000000000,0.000023121,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.150000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000001224,-0.000012553,-0.000068075,0.150000007
1731295308.788162,-0.000026398,0.004569140,-4.281768854,0.000000000,0.000000000,0.000025987,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.150000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000001220,-0.000012820,-0.000068586,0.150000007
1731295308.798522,0.000068625,0.004973079,-4.281768882,0.000000000,0.000000000,0.000028825,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.150000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000001214,-0.000013075,-0.000069025,0.150000007
1731295308.809287,0.000163870,0.005371756,-4.281768907,0.000000000,0.000000000,0.000031634,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.150000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000001208,-0.000013319,-0.000069391,0.150000007
1731295308.819649,0.000259246,0.005764750,-4.281768929,0.000000000,0.000000000,0.000034410,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.150000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000001200,-0.000013550,-0.000069683,0.150000007
1731295308.829844,0.000354667,0.006151644,-4.281768948,0.000000000,0.000000000,0.000037149,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.150000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000001190,-0.000013768,-0.000069901,0.150000007
1731295308.840090,0.000450043,0.006532027,-4.281768964,0.000000000,0.000000000,0.000039850,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.150000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000001180,-0.000013974,-0.000070045,0.150000007
